path	HAS_KEYS(trinity_score+decision)	len
/api/personas/{persona_id}/trinity-score	False	40
/api/health/trinity-monitor/stats	False	73
/api/health/trinity-monitor/trend	False	73
/chancellor/health	False	107
/health	False	2466
/api/system/kingdom-status	False	1176
/api/wallet/setup/status	False	163
/api/users/health	False	219
/api/auth/health	False	162
/api/chat/health	False	87
/api/personas/health	False	250
/api/aicpa/status	False	214
/api/voice/health	False	81
/api/council/health	False	218
/api/learning/health	False	87
/api/serenity/status	False	137
/api/health	False	136
/api/revalidate/status	False	205
/api/ssot-status	False	890
/api/health/comprehensive	False	4272
/api/mcp/status	False	831
/api/git/status	False	1138
/api/context7/health	False	100
/api/gen-ui/health	False	108
/family/health	False	102
/api/family/health	False	102
/api/julie/status	False	196
/api/compat/health	False	243